Cochrane Review ID,Author(s),Title,Source,Year,Abstract,Issue,Publisher,ISSN,Keywords,DOI,URL,Cochrane Review Group Code
"CD003554.PUB2","Vermeulen, H; Ubbink, DT; Goossens, A; de Vos, R; Legemate, DA; Westerbos, SJ","Dressings and topical agents for surgical wounds healing by secondary intention","Cochrane Database of Systematic Reviews","2004",,"1","John Wiley & Sons, Ltd","1465-1858","*Bandages; *Surgical Procedures, Operative; *Wound Healing; Humans; Occlusive Dressings; Randomized Controlled Trials as Topic","10.1002/14651858.CD003554.pub2","http://dx.doi.org/10.1002/14651858.CD003554.pub2","Wounds"
"CD013117.PUB2","de Souza, DK; Thomas, R; Bradley, J; Leyrat, C; Boakye, DA; Okebe, J","Ivermectin treatment in humans for reducing malaria transmission","Cochrane Database of Systematic Reviews","2021",,"6","John Wiley & Sons, Ltd","1465-1858",,"10.1002/14651858.CD013117.pub2","http://dx.doi.org/10.1002/14651858.CD013117.pub2","Infectious Diseases"
"CD003748.PUB5","Brown, T; Forster, RB; Cleanthis, M; Mikhailidis, DP; Stansby, G; Stewart, M","Cilostazol for intermittent claudication","Cochrane Database of Systematic Reviews","2021",,"6","John Wiley & Sons, Ltd","1465-1858","Aged; Cilostazol; Humans; Intermittent Claudication [*drug therapy]; Middle Aged; Myocardial Infarction [prevention & control]; Pentoxifylline [therapeutic use]; Peripheral Vascular Diseases [drug therapy]; Platelet Aggregation Inhibitors [adverse effects, *therapeutic use]; Randomized Controlled Trials as Topic; Stroke [prevention & control]; Tetrazoles [adverse effects, *therapeutic use]; Walking","10.1002/14651858.CD003748.pub5","http://dx.doi.org/10.1002/14651858.CD003748.pub5","Vascular"
"CD013321.PUB2","O'Connell, MA; Khashan, AS; Leahy-Warren, P; Stewart, F; O'Neill, SM","Interventions for fear of childbirth including tocophobia","Cochrane Database of Systematic Reviews","2021",,"7","John Wiley & Sons, Ltd","1465-1858",,"10.1002/14651858.CD013321.pub2","http://dx.doi.org/10.1002/14651858.CD013321.pub2","Pregnancy and Childbirth"
"CD015017.PUB2","Popp, M; Stegemann, M; Metzendorf, M-I; Gould, S; Kranke, P; Meybohm, P; Skoetz, N; Weibel, S","Ivermectin for preventing and treating COVID‐19","Cochrane Database of Systematic Reviews","2021",,"7","John Wiley & Sons, Ltd","1465-1858",,"10.1002/14651858.CD015017.pub2","http://dx.doi.org/10.1002/14651858.CD015017.pub2","Haematology; Haematology"
"CD000125.PUB5","Flodgren, G; O'Brien, MA; Parmelli, E; Grimshaw, JM","Local opinion leaders: effects on professional practice and healthcare outcomes","Cochrane Database of Systematic Reviews","2019",,"6","John Wiley & Sons, Ltd","1465-1858","*Health Personnel; *Outcome Assessment, Health Care; *Practice Patterns, Physicians'; *Professional Practice; Attitude; Guideline Adherence; Humans; Leadership","10.1002/14651858.CD000125.pub5","http://dx.doi.org/10.1002/14651858.CD000125.pub5","Effective Practice and Organisation of Care"
"CD008605.PUB4","Tang, H; Mourad, SM.; Wang, A; Zhai, S-D; Hart, RJ","Dopamine agonists for preventing ovarian hyperstimulation syndrome","Cochrane Database of Systematic Reviews","2021",,"4","John Wiley & Sons, Ltd","1465-1858","*Fertilization in Vitro; Abortion, Spontaneous [prevention & control]; Administration, Oral; Aminoquinolines [therapeutic use]; Bromocriptine [therapeutic use]; Cabergoline [therapeutic use]; Dopamine Agonists [administration & dosage, *therapeutic use]; Ergolines [therapeutic use]; Female; Humans; Live Birth [epidemiology]; Ovarian Hyperstimulation Syndrome [epidemiology, *prevention & control]; Placebos [therapeutic use]; Pregnancy; Pregnancy Rate; Randomized Controlled Trials as Topic; Sperm Injections, Intracytoplasmic","10.1002/14651858.CD008605.pub4","http://dx.doi.org/10.1002/14651858.CD008605.pub4","Gynaecology and Fertility"
"CD008708.PUB5","Sharma, A; Jagannath, VA; Puri, L","Hematopoietic stem cell transplantation for people with β‐thalassaemia","Cochrane Database of Systematic Reviews","2021",,"4","John Wiley & Sons, Ltd","1465-1858","*Hematopoietic Stem Cell Transplantation; Humans; beta-Thalassemia [*therapy]","10.1002/14651858.CD008708.pub5","http://dx.doi.org/10.1002/14651858.CD008708.pub5","Cystic Fibrosis and Genetic Disorders"
"CD012621.PUB2","Barnes, H; Brown, Z; Burns, A; Williams, T","Phosphodiesterase 5 inhibitors for pulmonary hypertension","Cochrane Database of Systematic Reviews","2019",,"1","John Wiley & Sons, Ltd","1465-1858","Adult; Child; Endothelin Receptor Antagonists [therapeutic use]; Humans; Hypertension, Pulmonary [*drug therapy, etiology, mortality]; Numbers Needed To Treat; Phosphodiesterase 5 Inhibitors [adverse effects, *therapeutic use]; Placebos [therapeutic use]; Quality of Life; Randomized Controlled Trials as Topic; Walk Test","10.1002/14651858.CD012621.pub2","http://dx.doi.org/10.1002/14651858.CD012621.pub2","Airways"
"CD009877.PUB2","Heus, P; Verbeek, JH; Tikka, C","Optical correction of refractive error for preventing and treating eye symptoms in computer users","Cochrane Database of Systematic Reviews","2018",,"4","John Wiley & Sons, Ltd","1465-1858","*Computer Terminals; *Eyeglasses; Asthenopia [etiology, *prevention & control]; Ergonomics; Headache [prevention & control]; Humans; Randomized Controlled Trials as Topic; Refractive Errors [*therapy]","10.1002/14651858.CD009877.pub2","http://dx.doi.org/10.1002/14651858.CD009877.pub2","Work"
"CD013194","Dinnes, J; Deeks, JJ; Grainge, MJ; Chuchu, N; Ferrante di Ruffano, L; Matin, RN; Thomson, DR; Wong, KY; Aldridge, RB; Abbott, R; Fawzy, M; Bayliss, SE; Takwoingi, Y; Davenport, C; Godfrey, K; Walter, FM; Williams, HC","Visual inspection for diagnosing cutaneous melanoma in adults","Cochrane Database of Systematic Reviews","2018",,"12","John Wiley & Sons, Ltd","1465-1858","Adult; Aged; Algorithms; Diagnostic Errors; Humans; Melanoma [*diagnosis, diagnostic imaging]; Middle Aged; Physical Examination [*methods]; Sensitivity and Specificity; Skin Neoplasms [*diagnosis, diagnostic imaging]","10.1002/14651858.CD013194","http://dx.doi.org/10.1002/14651858.CD013194","Skin"
"CD012510.PUB2","Kayssi, A; Al‐Jundi, W; Papia, G; Kucey, DS; Forbes, T; Rajan, DK; Neville, R; Dueck, AD","Drug‐eluting balloon angioplasty versus uncoated balloon angioplasty for the treatment of in‐stent restenosis of the femoropopliteal arteries","Cochrane Database of Systematic Reviews","2019",,"1","John Wiley & Sons, Ltd","1465-1858","*Femoral Artery; *Popliteal Artery; *Stents; Amputation; Angioplasty, Balloon [adverse effects, *methods]; Ankle Brachial Index; Constriction, Pathologic [etiology, mortality, therapy]; Humans; Randomized Controlled Trials as Topic; Recurrence; Vascular Patency","10.1002/14651858.CD012510.pub2","http://dx.doi.org/10.1002/14651858.CD012510.pub2","Vascular"
"CD003738.PUB3","Findl, O; Buehl, W; Bauer, P; Sycha, T","Interventions for preventing posterior capsule opacification","Cochrane Database of Systematic Reviews","2010",,"2","John Wiley & Sons, Ltd","1465-1858","*Lens Capsule, Crystalline; Cataract Extraction [*adverse effects]; Cataract [*etiology]; Humans; Hydrogel, Polyethylene Glycol Dimethacrylate [adverse effects]; Lenses, Intraocular [*adverse effects]; Phacoemulsification [adverse effects]; Polymethyl Methacrylate [adverse effects]; Randomized Controlled Trials as Topic","10.1002/14651858.CD003738.pub3","http://dx.doi.org/10.1002/14651858.CD003738.pub3","Eyes and Vision"
"CD000987","Kleijnen, J; Mackerras, D","Vitamin E for intermittent claudication","Cochrane Database of Systematic Reviews","1998",,"1","John Wiley & Sons, Ltd","1465-1858","Humans; Intermittent Claudication [*drug therapy]; Male; Vitamin E [*therapeutic use]","10.1002/14651858.CD000987","http://dx.doi.org/10.1002/14651858.CD000987","Vascular"
"CD000994.PUB3","Wong, CX; Carson, KV; Smith, BJ","Home care by outreach nursing for chronic obstructive pulmonary disease","Cochrane Database of Systematic Reviews","2012",,"4","John Wiley & Sons, Ltd","1465-1858","Community Health Nursing; Health Status; Home Care Services [standards]; Hospitalization [statistics & numerical data]; Humans; Lung Diseases, Obstructive [mortality, *nursing, rehabilitation]; Program Evaluation; Quality of Life; Randomized Controlled Trials as Topic","10.1002/14651858.CD000994.pub3","http://dx.doi.org/10.1002/14651858.CD000994.pub3","Airways"
"CD010179","Travers, AH; Milan, SJ; Jones, AP; Camargo Jr, CA; Rowe, BH","Addition of intravenous beta2‐agonists to inhaled beta2‐agonists for acute asthma","Cochrane Database of Systematic Reviews","2012",,"12","John Wiley & Sons, Ltd","1465-1858","Acetamides [administration & dosage]; Acute Disease; Administration, Inhalation; Administration, Intravenous; Adrenal Cortex Hormones [administration & dosage]; Adrenergic beta‐2 Receptor Agonists [*administration & dosage]; Adult; Albuterol [administration & dosage]; Anti‐Asthmatic Agents [*administration & dosage]; Asthma [*drug therapy]; Child; Drug Therapy, Combination [methods]; Emergencies; Humans; Ipratropium [administration & dosage]; Naphthalenes [administration & dosage]; Randomized Controlled Trials as Topic; Terbutaline [administration & dosage]","10.1002/14651858.CD010179","http://dx.doi.org/10.1002/14651858.CD010179","Airways"
"CD000995.PUB2","Dennis, JA; Cates, CJ","Alexander technique for chronic asthma","Cochrane Database of Systematic Reviews","2012",,"9","John Wiley & Sons, Ltd","1465-1858","*Physical Therapy Modalities; *Posture; Asthma [*therapy]; Biomechanical Phenomena; Breathing Exercises; Chronic Disease; Humans","10.1002/14651858.CD000995.pub2","http://dx.doi.org/10.1002/14651858.CD000995.pub2","Airways"
"CD010166.PUB2","McLaren, L; Sumar, N; Barberio, AM; Trieu, K; Lorenzetti, DL; Tarasuk, V; Webster, J; Campbell, NRC","Population‐level interventions in government jurisdictions for dietary sodium reduction","Cochrane Database of Systematic Reviews","2016",,"9","John Wiley & Sons, Ltd","1465-1858",,"10.1002/14651858.CD010166.pub2","http://dx.doi.org/10.1002/14651858.CD010166.pub2","Public Health"
"CD010169.PUB2","Vogel, AP; Keage, MJ; Johansson, K; Schalling, E","Treatment for dysphagia (swallowing difficulties) in hereditary ataxia","Cochrane Database of Systematic Reviews","2015",,"11","John Wiley & Sons, Ltd","1465-1858","Deglutition Disorders [etiology, *therapy]; Humans; Spinocerebellar Degenerations [*complications]","10.1002/14651858.CD010169.pub2","http://dx.doi.org/10.1002/14651858.CD010169.pub2","Neuromuscular"
"CD000991.PUB2","Toomtong, P; Suksompong, S","Intravenous fluids for abdominal aortic surgery","Cochrane Database of Systematic Reviews","2010",,"1","John Wiley & Sons, Ltd","1465-1858","*Fluid Therapy; Aorta, Abdominal [*surgery]; Aortic Aneurysm, Abdominal [surgery]; Arteriosclerosis [surgery]; Blood Loss, Surgical; Colloids; Humans; Randomized Controlled Trials as Topic; Solutions [therapeutic use]","10.1002/14651858.CD000991.pub2","http://dx.doi.org/10.1002/14651858.CD000991.pub2","Vascular"
"CD010163.PUB2","Bala, MM; Riemsma, RP; Wolff, R; Kleijnen, J","Microwave coagulation for liver metastases","Cochrane Database of Systematic Reviews","2013",,"10","John Wiley & Sons, Ltd","1465-1858","*Colorectal Neoplasms; Female; Humans; Liver Neoplasms [*secondary, *therapy]; Male; Microwaves [*therapeutic use]; Randomized Controlled Trials as Topic","10.1002/14651858.CD010163.pub2","http://dx.doi.org/10.1002/14651858.CD010163.pub2","Hepato-Biliary"
"CD000998.PUB3","Ferreira, IM; Brooks, D; White, J; Goldstein, R","Nutritional supplementation for stable chronic obstructive pulmonary disease","Cochrane Database of Systematic Reviews","2012",,"12","John Wiley & Sons, Ltd","1465-1858","*Enteral Nutrition; *Parenteral Nutrition; Body Weight; Humans; Lung Diseases, Obstructive [complications, *therapy]; Nutrition Disorders [etiology, *therapy]; Randomized Controlled Trials as Topic; Skinfold Thickness","10.1002/14651858.CD000998.pub3","http://dx.doi.org/10.1002/14651858.CD000998.pub3","Airways"
"CD010125.PUB2","Lamers, MH; Broekman, M; Drenth, JPH; Gluud, C","Aminoadamantanes for chronic hepatitis C","Cochrane Database of Systematic Reviews","2014",,"5","John Wiley & Sons, Ltd","1465-1858","Adult; Amantadine [*therapeutic use]; Antiviral Agents [*therapeutic use]; Drug Therapy, Combination [methods]; Hepatitis C, Chronic [*drug therapy, virology]; Humans; Interferon-alpha [therapeutic use]; Polyethylene Glycols [therapeutic use]; Randomized Controlled Trials as Topic; Recombinant Proteins [therapeutic use]; Ribavirin [therapeutic use]; Treatment Outcome","10.1002/14651858.CD010125.pub2","http://dx.doi.org/10.1002/14651858.CD010125.pub2","Hepato-Biliary"
"CD009542.PUB2","Yeung, JP; Kloda, LA; McDevitt, J; Ben‐Shoshan, M; Alizadehfar, R","Oral immunotherapy for milk allergy","Cochrane Database of Systematic Reviews","2012",,"11","John Wiley & Sons, Ltd","1465-1858","Administration, Oral; Adult; Animals; Child; Desensitization, Immunologic [adverse effects, *methods]; Humans; Milk Hypersensitivity [immunology, *therapy]; Milk [adverse effects, immunology]; Randomized Controlled Trials as Topic","10.1002/14651858.CD009542.pub2","http://dx.doi.org/10.1002/14651858.CD009542.pub2","Tobacco Addiction"
"CD007428.PUB3","Lenza, M; Faloppa, F","Surgical interventions for treating acute fractures or non‐union of the middle third of the clavicle","Cochrane Database of Systematic Reviews","2015",,"5","John Wiley & Sons, Ltd","1465-1858","Adult; Bone Plates; Clavicle [*injuries, surgery]; Female; Fracture Fixation [*methods]; Fracture Fixation, Intramedullary [methods]; Fractures, Bone [*surgery]; Fractures, Ununited [surgery]; Humans; Male; Middle Aged; Randomized Controlled Trials as Topic; Treatment Failure","10.1002/14651858.CD007428.pub3","http://dx.doi.org/10.1002/14651858.CD007428.pub3","Bone, Joint and Muscle Trauma"
"CD005293.PUB2","Coulthard, P; Kushnerev, E; Yates, JM; Walsh, T; Patel, N; Bailey, E; Renton, TF","Interventions for iatrogenic inferior alveolar and lingual nerve injury","Cochrane Database of Systematic Reviews","2014",,"4","John Wiley & Sons, Ltd","1465-1858","*Iatrogenic Disease; Humans; Lingual Nerve Injuries [*radiotherapy]; Low‐Level Light Therapy [*methods]; Randomized Controlled Trials as Topic; Somatosensory Disorders [etiology, *radiotherapy]; Time Factors; Trigeminal Nerve Injuries [*radiotherapy]","10.1002/14651858.CD005293.pub2","http://dx.doi.org/10.1002/14651858.CD005293.pub2","Oral Health"
"CD008567.PUB3","Tosh, G; Clifton, AV; Xia, J; White, MM","General physical health advice for people with serious mental illness","Cochrane Database of Systematic Reviews","2014",,"3","John Wiley & Sons, Ltd","1465-1858","*Health Status; *Quality of Life; Awareness; Health Behavior; Health Promotion [*methods]; Humans; Mental Disorders [*complications, mortality]; Randomized Controlled Trials as Topic; Standard of Care","10.1002/14651858.CD008567.pub3","http://dx.doi.org/10.1002/14651858.CD008567.pub3","Schizophrenia"
"CD010137.PUB2","Ruospo, M; Saglimbene, VM; Palmer, SC; De Cosmo, S; Pacilli, A; Lamacchia, O; Cignarelli, M; Fioretto, P; Vecchio, M; Craig, JC; Strippoli, GFM","Glucose targets for preventing diabetic kidney disease and its progression","Cochrane Database of Systematic Reviews","2017",,"6","John Wiley & Sons, Ltd","1465-1858","*Blood Glucose; *Glycated Hemoglobin A [analysis]; Albuminuria [epidemiology]; Cardiovascular Diseases [mortality, prevention & control]; Cause of Death; Creatinine [blood]; Death, Sudden [epidemiology]; Diabetes Mellitus, Type 1 [complications]; Diabetes Mellitus, Type 2 [complications]; Diabetic Nephropathies [blood, *prevention & control]; Disease Progression; Fasting [*blood]; Humans; Hyperglycemia [blood, drug therapy]; Hypoglycemic Agents [therapeutic use]; Kidney Failure, Chronic [blood, etiology, *prevention & control]; Myocardial Infarction [mortality, prevention & control]; Randomized Controlled Trials as Topic; Stroke [epidemiology, prevention & control]; Time Factors","10.1002/14651858.CD010137.pub2","http://dx.doi.org/10.1002/14651858.CD010137.pub2","Kidney and Transplant"
"CD007441.PUB2","Hall, PE; Derry, S; Moore, RA; McQuay, HJ","Single dose oral lornoxicam for acute postoperative pain in adults","Cochrane Database of Systematic Reviews","2009",,"4","John Wiley & Sons, Ltd","1465-1858","Acute Disease; Administration, Oral; Adult; Analgesics, Non‐Narcotic [*administration & dosage]; Anti‐Inflammatory Agents, Non‐Steroidal [*administration & dosage]; Humans; Pain, Postoperative [*drug therapy]; Piroxicam [administration & dosage, *analogs & derivatives]; Randomized Controlled Trials as Topic","10.1002/14651858.CD007441.pub2","http://dx.doi.org/10.1002/14651858.CD007441.pub2","Pain, Palliative and Supportive Care"
"CD007444.PUB4","Promsonthi, P; Preechapornprasert, A; Chanrachakul, B","Nitric oxide donors for cervical ripening in first‐trimester surgical abortion","Cochrane Database of Systematic Reviews","2015",,"2","John Wiley & Sons, Ltd","1465-1858","*Abortifacient Agents, Nonsteroidal [adverse effects]; *Nitric Oxide Donors [adverse effects]; *Oxytocics [adverse effects]; Abortion, Induced [*methods]; Cervical Ripening [*drug effects, physiology]; Female; Humans; Pregnancy; Pregnancy Trimester, First; Prostaglandins; Randomized Controlled Trials as Topic","10.1002/14651858.CD007444.pub4","http://dx.doi.org/10.1002/14651858.CD007444.pub4","Fertility Regulation"
